STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-22,60.0,80.0,,,1130.0,0.0,80.0,0.0,0.0,,51.0,26.0,522.0,,,,225.0,225.0,,,,,39.1,30.0,,,,,,,,,,,,,,,1.0,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-23,0.0,0.0,,,824.0,0.0,97.0,0.0,0.0,,44.0,20.0,642.0,,,,315.0,315.0,,,,,55.3,38.0,,,,,,,,,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-24,70.0,70.0,,,1230.0,0.0,61.0,0.0,0.0,,36.0,20.0,402.0,,,,45.0,45.0,,,,,23.0,17.0,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-25,90.0,90.0,,,2336.0,0.0,32.0,0.0,0.0,,54.0,19.0,216.0,,,,315.0,315.0,,,,,39.1,23.0,,,,,,,,1.0,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-26,20.0,0.0,,,118.0,0.0,97.0,0.0,0.0,,25.0,7.0,642.0,,,,315.0,315.0,,,,,42.5,28.0,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-27,70.0,80.0,,,936.0,0.0,39.0,0.0,0.0,,35.0,18.0,258.0,,,,180.0,135.0,,,,,18.3,13.0,,,,,,,,,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-28,100.0,100.0,,,1330.0,0.41,0.0,5.2,2.0,,35.0,30.0,0.0,,,,90.0,135.0,0.4,,,,20.8,15.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-01,40.0,20.0,,,42.0,0.0,88.0,0.0,5.0,,37.0,23.0,594.0,,,,315.0,315.0,0.4,,,,19.5,16.1,1.0,,,,,,,1.0,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-02,90.0,100.0,,,1554.0,0.21,0.0,2.2,3.0,,36.0,31.0,0.0,,,,45.0,45.0,0.3,,,,20.8,15.0,1.0,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-03,10.0,20.0,,,548.0,0.0,99.0,0.0,3.0,,39.0,26.0,672.0,,,,360.0,360.0,0.5,,,,18.3,14.1,,,,,,,,1.0,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-04,70.0,90.0,,,1112.0,0.08,92.0,0.0,2.0,,35.0,25.0,630.0,,,,45.0,90.0,0.2,,,,16.1,13.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-05,100.0,100.0,,,1836.0,0.24,0.0,0.0,1.0,,38.0,33.0,0.0,,,,360.0,360.0,,,,,18.3,12.1,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-06,70.0,90.0,,,518.0,0.0,6.0,0.0,0.0,,38.0,31.0,42.0,,,,360.0,360.0,,,,,24.2,17.0,1.0,,,,,,,1.0,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-07,50.0,50.0,,,1436.0,0.0,87.0,0.0,0.0,,45.0,29.0,600.0,,,,315.0,270.0,,,,,23.0,16.1,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-08,30.0,10.0,,,1100.0,0.0,77.0,0.0,0.0,,41.0,22.0,534.0,,,,315.0,270.0,,,,,50.6,38.0,,,,,,,,,,,,,,,1.0,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-09,0.0,0.0,,,18.0,0.0,100.0,0.0,0.0,,36.0,19.0,696.0,,,,315.0,270.0,,,,,39.1,25.9,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-10,10.0,20.0,,,1454.0,0.0,94.0,0.0,0.0,,40.0,24.0,654.0,,,,315.0,270.0,,,,,52.8,34.0,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-11,10.0,0.0,,,1006.0,0.0,93.0,0.0,0.0,,43.0,28.0,654.0,,,,315.0,270.0,,,,,49.4,36.0,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-12,80.0,100.0,,,1042.0,0.0,95.0,0.0,0.0,,49.0,32.0,672.0,,,,270.0,270.0,,,,,30.0,17.0,,,,,,,,,,,,,,,1.0,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-13,100.0,100.0,,,1206.0,0.52,0.0,1.0,0.0,,43.0,33.0,0.0,,,,360.0,360.0,,,,,34.4,23.0,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-14,100.0,100.0,,,2354.0,0.2,7.0,1.9,1.0,,36.0,33.0,54.0,,,,270.0,270.0,,,,,24.2,16.1,1.0,,,,,,,1.0,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-15,40.0,30.0,,,136.0,0.0,100.0,0.0,2.0,,40.0,28.0,714.0,,,,270.0,270.0,0.6,,,,31.1,23.0,,,,,,,,,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-16,50.0,70.0,,,1948.0,0.0,82.0,0.0,0.0,,40.0,28.0,588.0,,,,315.0,315.0,,,,,31.1,19.9,,,,,,,,,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-17,0.0,0.0,,,1012.0,0.0,100.0,0.0,0.0,,46.0,28.0,720.0,,,,315.0,315.0,,,,,32.2,21.9,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-18,80.0,90.0,,,1548.0,0.0,59.0,0.0,0.0,,49.0,34.0,432.0,,,,225.0,225.0,,,,,21.9,16.1,,,,,,,,,,,,,,,,,,,,
